Timestamp,Open,High,Low,Close,AdjustedClose,Volume,DividendPerShare,SplitCoefficient
2023-05-02,104.0,105.7,103.89,105.7,105.7,29918590,0.0000,1.0
2023-05-01,105.27,105.42,102.84,103.13,103.13,32487293,0.2680,1.0
2023-04-28,106.21,106.76,105.86,106.46,106.184068656264,26954077,0.0000,1.0
2023-04-27,105.2,105.27,104.61,104.77,104.498448930272,20247619,0.0000,1.0
2023-04-26,106.79,107.24,105.67,105.82,105.545727458255,19550658,0.0000,1.0
2023-04-25,106.33,107.13,106.28,106.96,106.682772717208,21899884,0.0000,1.0
2023-04-24,104.96,105.4875,104.84,105.41,105.136790128281,17034309,0.0000,1.0
2023-04-21,105.3,105.46,104.27,104.4,104.129407925173,15244718,0.0000,1.0
2023-04-20,104.83,105.28,104.753,104.99,104.717878717087,16450090,0.0000,1.0
2023-04-19,103.91,104.237,103.475,104.1,103.830185488606,16093905,0.0000,1.0
2023-04-18,103.81,104.585,103.8,104.2,103.929926300795,15922623,0.0000,1.0
2023-04-17,104.42,104.59,103.71,103.83,103.560885295696,19483964,0.0000,1.0
2023-04-14,105.39,105.55,104.77,105.08,104.807645448057,19801897,0.0000,1.0
2023-04-13,107.05,107.39,105.88,106.05,105.775131326289,22079384,0.0000,1.0
2023-04-12,107.05,107.165,105.88,106.89,106.612954148676,20563001,0.0000,1.0
2023-04-11,107.05,107.09,106.51,107.0,106.722669042083,13971249,0.0000,1.0
2023-04-10,107.64,107.7618,106.56,106.78,106.503239255268,19134399,0.0000,1.0
2023-04-06,108.42,108.87,108.39,108.53,108.248703468573,16447295,0.0000,1.0
2023-04-05,107.77,108.37,107.41,108.25,107.969429194444,23047703,0.0000,1.0
2023-04-04,105.78,107.8,105.75,107.13,106.852332097929,18052419,0.0000,1.0
2023-04-03,105.88,107.095,105.7,106.6,106.323705793328,18234843,0.2688,1.0
2023-03-31,105.35,106.56,105.075,106.37,105.827494530429,25396684,0.0000,1.0
2023-03-30,104.46,105.05,104.27,104.8,104.265501803037,14315802,0.0000,1.0
2023-03-29,103.7,104.45,103.6,104.32,103.787949886381,16804393,0.0000,1.0
2023-03-28,104.24,104.68,104.02,104.53,103.996878849918,17794343,0.0000,1.0
2023-03-27,105.05,105.76,104.325,104.34,103.807847882909,22224508,0.0000,1.0
2023-03-24,107.09,107.43,106.26,106.85,106.305046447085,23657586,0.0000,1.0
2023-03-23,105.36,106.55,104.82,106.4,105.85734152522,25475128,0.0000,1.0
2023-03-22,104.66,106.45,104.44,106.4,105.85734152522,26388481,0.0000,1.0
2023-03-21,105.08,105.42,104.54,105.0,104.46448176831,18934923,0.0000,1.0
2023-03-20,106.88,106.96,105.72,105.91,105.369840610302,24242781,0.0000,1.0
2023-03-17,106.65,107.73,106.46,106.85,106.305046447085,38128985,0.0000,1.0
2023-03-16,107.38,108.03,105.04,105.27,104.733104721428,43103531,0.0000,1.0
2023-03-15,106.78,107.71,105.345,106.1,105.558871577311,45164118,0.0000,1.0
2023-03-14,105.14,105.61,103.75,104.09,103.559122926318,38417777,0.0000,1.0
2023-03-13,108.2,109.1,105.04,105.83,105.290248624192,51502460,0.0000,1.0
2023-03-10,104.03,105.6939,104.0,105.59,105.051472665865,43921484,0.0000,1.0
2023-03-09,101.55,102.52,101.33,102.07,101.549425277061,21550356,0.0000,1.0
2023-03-08,102.4,102.97,101.42,101.82,101.300700320469,20252359,0.0000,1.0
2023-03-07,101.46,102.365,100.88,101.72,101.201210337833,23096462,0.0000,1.0
2023-03-06,102.22,102.34,100.99,101.1,100.584372445487,16631871,0.0000,1.0
2023-03-03,100.93,101.9,100.57,101.89,101.370343308315,30877342,0.0000,1.0
2023-03-02,99.06,99.645,98.88,99.48,98.9726347267756,23769180,0.0000,1.0
2023-03-01,100.82,101.03,99.96,100.37,99.8580955722403,19000033,0.2498,1.0
2023-02-28,100.57,101.72,100.28,101.71,100.940076730576,14955716,0.0000,1.0
2023-02-27,101.29,101.7,100.91,101.25,100.483558833652,14209183,0.0000,1.0
2023-02-24,101.44,101.795,100.56,100.97,100.205678374656,21403577,0.0000,1.0
2023-02-23,101.54,102.59,101.47,102.3,101.52561055489,15829077,0.0000,1.0
2023-02-22,100.99,101.69,100.95,101.31,100.543104646294,15165423,0.0000,1.0
2023-02-21,101.005,101.2,100.28,100.39,99.630068852448,22727975,0.0000,1.0
2023-02-17,101.1,102.38,100.965,102.38,101.605004971746,19560871,0.0000,1.0
2023-02-16,102.07,102.22,101.33,101.59,100.820985105291,19267327,0.0000,1.0
2023-02-15,103.55,103.95,102.495,103.05,102.269933212917,15567607,0.0000,1.0
2023-02-14,104.2,104.83,103.135,104.02,103.232590517299,15440317,0.0000,1.0
2023-02-13,103.71,104.415,103.58,104.26,103.470773767868,13134299,0.0000,1.0
2023-02-10,104.4,104.44,103.115,103.39,102.607359484556,16598349,0.0000,1.0
2023-02-09,106.47,106.62,104.39,104.56,103.768502831078,20469923,0.0000,1.0
2023-02-08,105.04,105.58,104.39,105.56,104.760933041781,13530655,0.0000,1.0
2023-02-07,105.33,106.23,105.0,105.06,104.26471793643,18290306,0.0000,1.0
2023-02-06,105.75,106.305,105.68,105.91,105.108283615527,15182444,0.0000,1.0
2023-02-03,106.77,107.11,106.08,106.7,105.892303481982,20619484,0.0000,1.0
2023-02-02,108.92,109.352,108.085,108.32,107.500040423321,19548415,0.0000,1.0
2023-02-01,107.55,108.59,106.42,108.18,107.361100193822,25305791,0.2755,1.0
2023-01-31,106.98,107.28,105.87,107.17,106.088575794923,13705345,0.0000,1.0
2023-01-30,106.46,107.16,106.19,106.32,105.247152920744,11459667,0.0000,1.0
2023-01-27,106.19,106.96,106.11,106.71,105.633217533603,11845473,0.0000,1.0
2023-01-26,107.14,107.65,106.49,106.98,105.900493034812,15549352,0.0000,1.0
2023-01-25,107.37,107.905,106.64,107.48,106.395447666682,11906502,0.0000,1.0
2023-01-24,106.12,107.45,105.39,107.22,106.13807125811,16417220,0.0000,1.0
2023-01-23,105.57,106.2,105.49,105.7,104.633409177226,12961516,0.0000,1.0
2023-01-20,106.96,107.24,106.11,106.2,105.128363809096,22754067,0.0000,1.0
2023-01-19,108.1,108.37,107.44,107.95,106.860705020639,17194653,0.0000,1.0
2023-01-18,108.46,108.77,107.12,108.63,107.533843319982,35497241,0.0000,1.0
2023-01-17,105.67,106.66,105.65,106.06,104.989776512172,13911676,0.0000,1.0
2023-01-13,107.1,107.8,106.38,106.75,105.672813904152,17750775,0.0000,1.0
2023-01-12,105.82,107.81,104.56,107.76,106.672622260529,32029608,0.0000,1.0
2023-01-11,104.97,105.72,104.7,105.68,104.613610991951,18794029,0.0000,1.0
2023-01-10,104.53,104.82,103.5,103.99,102.940664336232,20545215,0.0000,1.0
2023-01-09,104.41,105.93,104.27,105.74,104.673005547776,21472166,0.0000,1.0
2023-01-06,102.7,105.3,102.64,105.18,104.118656360082,27473733,0.0000,1.0
2023-01-05,101.87,103.288,101.78,103.28,102.237828758977,14771117,0.0000,1.0
2023-01-04,103.22,103.475,102.21,102.85,101.81216777557,21678210,0.0000,1.0
2023-01-03,102.2,102.34,100.84,101.46,100.436193898972,25313228,0.0000,1.0
2022-12-30,99.87,100.55,99.37,99.56,98.5553662978679,20810209,0.0000,1.0
2022-12-29,99.86,100.99,99.79,100.68,99.6640646732558,16592967,0.0000,1.0
2022-12-28,100.65,100.78,99.35,99.55,98.5454672052305,17302853,0.0000,1.0
2022-12-27,100.49,101.07,100.01,100.14,99.1295136708366,26475730,0.0000,1.0
2022-12-23,102.58,102.81,102.0225,102.16,101.12913038359,15408891,0.0000,1.0
2022-12-22,103.67,104.12,103.38,103.68,102.633792464473,11322512,0.0000,1.0
2022-12-21,104.29,104.4,102.96,103.7,102.653590649748,15894092,0.0000,1.0
2022-12-20,103.38,103.81,103.1,103.44,102.396214241176,28869030,0.0000,1.0
2022-12-19,105.83,105.84,104.98,105.31,104.247344564368,26126829,0.0000,1.0
2022-12-16,106.6,107.83,106.31,107.11,106.029181239098,20838343,0.0000,1.0
2022-12-15,108.39,109.12,108.16,108.32,107.226971448223,20255470,0.2611,1.0
2022-12-14,107.66,108.32,106.8927,108.16,106.81116337095,19517531,0.0000,1.0
2022-12-13,109.04,109.08,107.455,107.7,106.356899917264,23854670,0.0000,1.0
2022-12-12,107.86,108.11,106.26,106.67,105.339744792708,16897091,0.0000,1.0
2022-12-09,107.94,108.17,106.27,106.33,105.003984848679,25872173,0.0000,1.0
2022-12-08,108.7,109.45,108.47,109.17,107.808567910564,13377290,0.0000,1.0
2022-12-07,108.37,109.68,108.2,109.47,108.104826684707,30546679,0.0000,1.0
2022-12-06,106.5,107.39,106.19,106.95,105.616252981907,21754513,0.0000,1.0
2022-12-05,105.84,105.99,104.9,105.59,104.273213205793,20159732,0.0000,1.0
2022-12-02,105.3,107.1,104.605,107.09,105.754507076507,24479525,0.0000,1.0
2022-12-01,103.15,105.81,103.1,105.76,104.441093177808,53156786,0.2442,1.0
2022-11-30,101.615,102.73,101.37,102.73,101.215132512726,21581659,0.0000,1.0
2022-11-29,102.15,102.96,101.91,101.98,100.476192092356,16576438,0.0000,1.0
2022-11-28,103.61,103.805,102.685,103.19,101.668349303886,14569219,0.0000,1.0
2022-11-25,102.61,102.93,102.43,102.9,101.382625674676,9486076,0.0000,1.0
2022-11-23,102.14,103.25,102.08,103.25,101.727464537515,23234587,0.0000,1.0
2022-11-22,100.65,101.62,100.5319,101.48,99.9835651454435,18103116,0.0000,1.0
2022-11-21,100.69,100.815,99.8,100.06,98.5845046162109,15534009,0.0000,1.0
2022-11-18,100.6,100.885,99.545,99.64,98.170697980804,14941277,0.0000,1.0
2022-11-17,100.2,100.57,99.78,100.33,98.8505231675438,24536378,0.0000,1.0
2022-11-16,100.02,101.45,99.74,101.4,99.9047448339374,28507673,0.0000,1.0
2022-11-15,98.25,99.3,98.11,99.23,97.7667438843354,26608180,0.0000,1.0
2022-11-14,97.91,97.985,97.09,97.65,96.2100427320906,13711928,0.0000,1.0
2022-11-11,97.57,98.37,97.54,97.89,96.4465036666088,15943114,0.0000,1.0
2022-11-10,96.725,98.43,96.64,98.25,96.8011950683861,45380877,0.0000,1.0
